Area Code,State,Market,Market Size,Profit,Sales,COGS,Total Expenses,Marketing,Inventory,Budget Profit,Budget COGS,Budget Margin,Budget Sales,ProductId,Date,Product Type,Product,Type
203,Connecticut,East,Small Market,16,100,43,41,14,388,20,40,50,90,6,07/01/2010,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,16,98,42,40,13,384,20,40,50,90,6,08/01/2010,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,47,145,55,47,18,312,40,50,70,120,6,01/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,132,53,45,17,299,40,50,70,120,6,03/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,22,97,42,37,13,384,20,40,50,90,6,08/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,31,118,47,43,15,375,50,30,60,90,6,10/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,132,53,45,17,380,40,50,70,120,6,11/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,31,121,49,44,16,392,40,40,70,110,6,12/01/2011,Espresso,Decaf Espresso,Decaf
203,Connecticut,East,Small Market,39,189,85,65,32,476,40,60,80,140,9,03/01/2010,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,32,169,76,61,28,580,40,50,80,130,9,06/01/2010,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,50,190,80,64,30,494,30,60,70,130,9,04/01/2011,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,36,160,67,59,25,599,20,50,60,110,9,09/01/2011,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,50,189,79,64,30,593,30,40,50,90,9,10/01/2011,Herbal Tea,Lemon,Decaf
203,Connecticut,East,Small Market,46,163,74,43,22,949,50,50,70,120,10,03/01/2010,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,68,176,75,44,23,956,50,50,70,120,10,02/01/2011,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,52,147,68,39,21,998,40,50,60,110,10,05/01/2011,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,49,145,62,41,19,1059,40,40,60,100,10,09/01/2011,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,52,151,65,42,20,1053,50,30,50,80,10,10/01/2011,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,53,148,63,40,19,1075,40,40,60,100,10,12/01/2011,Herbal Tea,Mint,Decaf
203,Connecticut,East,Small Market,43,115,47,25,13,821,60,40,80,120,11,04/01/2010,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,32,87,35,20,9,894,50,30,60,90,11,07/01/2010,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,28,83,34,21,9,890,40,30,50,80,11,08/01/2010,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,41,108,44,23,12,886,50,40,70,110,11,09/01/2010,Tea,Darjeeling,Regular
203,Connecticut,East,Small Market,46,91,37,20,10,876,40,30,60,90,11,06/01/2011,Tea,Darjeeling,Regular
206,Washington,West,Small Market,38,130,53,39,16,338,70,60,100,160,2,01/01/2010,Coffee,Columbian,Regular
206,Washington,West,Small Market,48,150,61,41,19,325,80,70,110,180,2,03/01/2010,Coffee,Columbian,Regular
206,Washington,West,Small Market,56,167,68,43,21,438,110,90,140,230,2,10/01/2010,Coffee,Columbian,Regular
206,Washington,West,Small Market,59,145,53,41,16,338,70,60,100,160,2,01/01/2011,Coffee,Columbian,Regular
206,Washington,West,Small Market,80,180,69,46,22,340,90,80,130,210,2,04/01/2011,Coffee,Columbian,Regular
206,Washington,West,Small Market,91,191,79,45,25,425,110,90,150,240,2,06/01/2011,Coffee,Columbian,Regular
206,Washington,West,Small Market,15,220,92,113,83,541,60,110,160,270,3,02/01/2010,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,16,227,95,116,86,532,70,110,170,280,3,03/01/2010,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,17,227,95,115,86,554,70,110,170,280,3,04/01/2010,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,264,110,130,100,665,90,130,200,330,3,06/01/2010,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,34,317,133,150,120,705,100,160,230,390,3,08/01/2010,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,242,95,116,86,532,70,110,170,280,3,03/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,33,262,110,121,100,665,90,130,200,330,3,06/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,43,294,124,132,112,717,100,150,220,370,3,07/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,24,238,93,114,84,692,60,110,160,270,3,09/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,25,245,96,117,87,683,100,140,190,330,3,10/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,30,266,105,125,95,716,50,120,170,290,3,12/01/2011,Coffee,Decaf Irish Cream,Decaf
206,Washington,West,Small Market,0,150,63,87,57,506,10,40,60,100,13,03/01/2010,Tea,Green Tea,Regular
206,Washington,West,Small Market,-8,105,44,69,39,617,10,20,50,70,13,08/01/2010,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,144,60,84,54,606,10,20,40,60,13,10/01/2010,Tea,Green Tea,Regular
206,Washington,West,Small Market,1,147,61,85,55,613,0,40,60,100,13,11/01/2010,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,160,63,87,57,521,10,40,60,100,13,04/01/2011,Tea,Green Tea,Regular
206,Washington,West,Small Market,3,153,64,82,58,551,10,40,60,100,13,05/01/2011,Tea,Green Tea,Regular
206,Washington,West,Small Market,3,159,62,85,56,612,10,40,60,100,13,09/01/2011,Tea,Green Tea,Regular
206,Washington,West,Small Market,0,153,60,84,54,606,10,20,40,60,13,10/01/2011,Tea,Green Tea,Regular
206,Washington,West,Small Market,16,130,58,56,22,338,20,50,70,120,5,05/01/2010,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,18,133,59,56,22,403,20,50,70,120,5,07/01/2010,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,20,134,54,56,20,312,20,50,60,110,5,01/01/2011,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,18,126,53,53,20,306,20,50,60,110,5,02/01/2011,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,22,135,57,55,21,313,30,50,70,120,5,04/01/2011,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,19,129,54,54,20,391,20,50,60,110,5,11/01/2011,Espresso,Caffe Mocha,Regular
206,Washington,West,Small Market,39,150,69,42,21,965,60,60,80,140,6,01/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,39,151,69,43,21,965,60,60,80,140,6,04/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,47,170,78,45,24,995,60,70,90,160,6,05/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,71,226,103,52,31,1073,90,90,120,210,6,08/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,53,182,83,46,25,1063,70,70,100,170,6,09/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,45,164,75,44,23,1063,40,70,80,150,6,11/01/2010,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,59,165,71,44,22,950,50,60,80,140,6,03/01/2011,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,58,161,69,43,21,965,60,60,80,140,6,04/01/2011,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,65,168,78,42,24,995,60,70,90,160,6,05/01/2011,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,79,194,83,46,25,1063,70,70,100,170,6,09/01/2011,Espresso,Decaf Espresso,Decaf
206,Washington,West,Small Market,115,310,124,71,40,961,120,100,170,270,8,01/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,121,325,130,74,42,945,120,110,170,280,8,02/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,115,309,123,71,40,932,120,100,170,270,8,03/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,98,275,110,67,36,1020,100,90,150,240,8,05/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,79,232,92,61,30,1102,90,70,130,200,8,06/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,115,313,125,73,41,1119,130,90,160,250,8,10/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,122,325,130,73,42,1134,120,120,180,300,8,11/01/2010,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,180,346,130,74,42,945,120,110,170,280,8,02/01/2011,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,157,311,116,70,38,962,110,90,160,250,8,04/01/2011,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,181,346,130,73,42,1134,120,120,180,300,8,11/01/2011,Herbal Tea,Chamomile,Decaf
206,Washington,West,Small Market,36,99,40,23,11,793,50,30,50,80,9,05/01/2010,Herbal Tea,Lemon,Decaf
206,Washington,West,Small Market,50,98,40,21,11,793,50,30,50,80,9,05/01/2011,Herbal Tea,Lemon,Decaf
206,Washington,West,Small Market,62,167,62,43,19,346,40,40,70,110,11,03/01/2010,Tea,Darjeeling,Regular
206,Washington,West,Small Market,57,159,60,42,18,329,40,20,50,70,11,10/01/2010,Tea,Darjeeling,Regular
206,Washington,West,Small Market,98,185,65,43,20,372,40,40,70,110,11,02/01/2011,Tea,Darjeeling,Regular
206,Washington,West,Small Market,57,124,47,34,14,371,30,30,50,80,11,06/01/2011,Tea,Darjeeling,Regular
206,Washington,West,Small Market,80,161,57,40,17,349,40,30,70,100,11,09/01/2011,Tea,Darjeeling,Regular
206,Washington,West,Small Market,41,137,56,40,17,382,40,30,60,90,12,02/01/2010,Tea,Earl Grey,Regular
206,Washington,West,Small Market,24,99,40,35,12,443,20,20,40,60,12,06/01/2010,Tea,Earl Grey,Regular
206,Washington,West,Small Market,20,90,36,34,11,458,30,20,40,60,12,08/01/2010,Tea,Earl Grey,Regular
206,Washington,West,Small Market,34,120,49,37,15,454,30,30,50,80,12,11/01/2010,Tea,Earl Grey,Regular
206,Washington,West,Small Market,75,168,61,43,19,390,40,40,60,100,12,01/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,56,137,52,39,16,376,30,30,50,80,12,03/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,45,121,46,38,14,388,20,30,40,70,12,04/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,33,98,40,33,12,443,20,20,40,60,12,06/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,28,89,36,32,11,458,30,20,40,60,12,08/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,50,128,49,37,15,454,30,30,50,80,12,11/01/2011,Tea,Earl Grey,Regular
206,Washington,West,Small Market,32,103,45,26,14,605,30,40,50,90,4,04/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,34,110,48,28,15,599,40,40,60,100,4,05/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,34,110,48,28,15,593,40,40,60,100,4,06/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,36,115,50,29,16,587,50,40,70,110,4,07/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,17,69,30,22,9,581,30,20,40,60,4,08/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,21,76,33,22,10,577,30,30,40,70,4,09/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,10,51,22,19,7,573,20,10,20,30,4,10/01/2010,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,55,123,48,28,15,623,40,40,60,100,4,01/01/2011,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,47,109,48,26,15,599,40,40,60,100,4,05/01/2011,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,50,114,50,27,16,587,50,40,70,110,4,07/01/2011,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,15,54,22,19,7,573,20,10,20,30,4,10/01/2011,Espresso,Caffe Latte,Regular
206,Washington,West,Small Market,19,60,24,19,7,567,20,20,30,50,4,12/01/2011,Espresso,Caffe Latte,Regular
209,California,West,Major Market,-84,106,127,63,40,1215,-80,160,-30,130,1,05/01/2010,Coffee,Amaretto,Regular
209,California,West,Major Market,-138,87,154,71,49,1832,-150,190,-90,100,1,07/01/2010,Coffee,Amaretto,Regular
209,California,West,Major Market,-3,162,95,55,30,608,30,110,70,180,1,01/01/2011,Coffee,Amaretto,Regular
209,California,West,Major Market,-131,109,127,63,40,2947,-90,150,-30,120,1,12/01/2011,Coffee,Amaretto,Regular
209,California,West,Major Market,276,712,284,152,99,2108,400,350,540,890,2,04/01/2010,Coffee,Columbian,Regular
209,California,West,Major Market,410,759,284,152,99,2108,400,350,540,890,2,04/01/2011,Coffee,Columbian,Regular
209,California,West,Major Market,88,201,75,55,24,659,40,50,80,130,13,11/01/2011,Tea,Green Tea,Regular
209,California,West,Major Market,25,289,121,143,109,788,30,110,160,270,5,05/01/2010,Espresso,Caffe Mocha,Regular
209,California,West,Major Market,216,576,247,113,81,1744,210,240,310,550,6,12/01/2010,Espresso,Decaf Espresso,Decaf
209,California,West,Major Market,321,614,247,113,81,1744,210,240,310,550,6,12/01/2011,Espresso,Decaf Espresso,Decaf
209,California,West,Major Market,148,247,95,37,26,809,100,80,120,200,8,02/01/2011,Herbal Tea,Chamomile,Decaf
209,California,West,Major Market,196,546,251,99,77,1268,200,210,270,480,9,09/01/2010,Herbal Tea,Lemon,Decaf
209,California,West,Major Market,291,582,251,99,77,1268,200,210,270,480,9,09/01/2011,Herbal Tea,Lemon,Decaf
209,California,West,Major Market,26,90,39,25,12,541,40,20,40,60,10,10/01/2010,Herbal Tea,Mint,Decaf
209,California,West,Major Market,120,276,113,43,31,897,90,70,110,180,11,06/01/2010,Tea,Darjeeling,Regular
209,California,West,Major Market,79,187,76,32,21,580,50,30,50,80,12,10/01/2010,Tea,Earl Grey,Regular
210,Texas,South,Major Market,192,532,244,96,75,1213,270,300,360,660,2,06/01/2010,Coffee,Columbian,Regular
210,Texas,South,Major Market,112,256,104,40,29,952,120,80,140,220,5,07/01/2010,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,133,302,123,46,34,915,100,70,120,190,5,10/01/2010,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,184,298,123,42,34,941,120,100,150,250,5,08/01/2011,Espresso,Caffe Mocha,Regular
210,Texas,South,Major Market,48,123,50,25,14,589,40,30,60,90,6,11/01/2010,Espresso,Decaf Espresso,Decaf
210,Texas,South,Major Market,26,84,34,30,10,428,30,30,50,80,9,08/01/2011,Herbal Tea,Lemon,Decaf
212,New York,East,Major Market,83,198,81,34,22,460,100,80,130,210,13,04/01/2010,Tea,Green Tea,Regular
212,New York,East,Major Market,84,150,54,27,15,456,70,50,90,140,13,01/01/2011,Tea,Green Tea,Regular
212,New York,East,Major Market,123,208,86,33,24,499,100,90,130,220,13,05/01/2011,Tea,Green Tea,Regular
212,New York,East,Major Market,-224,66,135,155,122,3641,-210,130,-70,60,5,12/01/2010,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,-304,70,125,146,113,1382,-190,120,-60,60,5,04/01/2011,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,-392,77,173,176,156,2615,-260,160,-90,70,5,08/01/2011,Espresso,Caffe Mocha,Regular
212,New York,East,Major Market,316,647,284,130,107,1565,180,210,290,500,9,08/01/2011,Herbal Tea,Lemon,Decaf
212,New York,East,Major Market,-238,112,251,99,77,3948,-180,190,-110,80,10,09/01/2010,Herbal Tea,Mint,Decaf
212,New York,East,Major Market,138,312,127,47,35,1007,160,130,200,330,11,07/01/2010,Tea,Darjeeling,Regular
212,New York,East,Major Market,190,309,127,44,35,1007,160,130,200,330,11,07/01/2011,Tea,Darjeeling,Regular
212,New York,East,Major Market,187,543,260,96,72,1271,210,240,290,530,7,05/01/2010,Espresso,Regular Espresso,Regular
212,New York,East,Major Market,646,815,239,91,66,1197,450,210,510,720,7,10/01/2011,Espresso,Regular Espresso,Regular
213,California,West,Major Market,364,687,258,142,90,2067,360,320,480,800,2,02/01/2011,Coffee,Columbian,Regular
213,California,West,Major Market,508,902,364,166,127,2617,520,450,680,1130,2,08/01/2011,Coffee,Columbian,Regular
213,California,West,Major Market,349,664,249,139,87,2580,310,290,450,740,2,11/01/2011,Coffee,Columbian,Regular
213,California,West,Major Market,47,168,67,54,22,677,50,40,80,120,13,12/01/2010,Tea,Green Tea,Regular
213,California,West,Major Market,203,546,234,109,77,1310,200,220,300,520,6,01/01/2010,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,220,589,253,116,83,1686,220,240,320,560,6,09/01/2010,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,292,567,228,107,75,1691,190,220,290,510,6,11/01/2011,Espresso,Decaf Espresso,Decaf
213,California,West,Major Market,84,198,81,33,22,984,80,70,110,180,8,11/01/2010,Herbal Tea,Chamomile,Decaf
213,California,West,Major Market,165,467,214,88,66,923,170,180,230,410,9,03/01/2010,Herbal Tea,Lemon,Decaf
213,California,West,Major Market,174,490,225,91,69,1272,160,210,240,450,9,11/01/2010,Herbal Tea,Lemon,Decaf
213,California,West,Major Market,52,119,52,28,17,554,40,40,60,100,10,08/01/2011,Herbal Tea,Mint,Decaf
213,California,West,Major Market,128,290,118,44,33,930,110,80,130,210,11,11/01/2010,Tea,Darjeeling,Regular
213,California,West,Major Market,230,527,266,92,74,1819,170,250,260,510,4,07/01/2011,Espresso,Caffe Latte,Regular
213,California,West,Major Market,230,527,266,92,74,1797,170,250,260,510,4,08/01/2011,Espresso,Caffe Latte,Regular
214,Texas,South,Major Market,197,546,251,98,77,1268,280,310,370,680,2,09/01/2010,Coffee,Columbian,Regular
214,Texas,South,Major Market,70,193,84,39,27,603,110,100,140,240,3,03/01/2010,Coffee,Decaf Irish Cream,Decaf
214,Texas,South,Major Market,26,90,39,25,12,541,80,40,90,130,3,10/01/2010,Coffee,Decaf Irish Cream,Decaf
214,Texas,South,Major Market,52,133,54,27,15,601,40,40,60,100,6,12/01/2010,Espresso,Decaf Espresso,Decaf
214,Texas,South,Major Market,119,201,77,32,21,449,90,60,100,160,6,02/01/2011,Espresso,Decaf Espresso,Decaf
214,Texas,South,Major Market,33,140,60,47,19,329,50,50,80,130,8,02/01/2010,Herbal Tea,Chamomile,Decaf
214,Texas,South,Major Market,31,134,57,46,18,323,50,50,80,130,8,03/01/2010,Herbal Tea,Chamomile,Decaf
214,Texas,South,Major Market,28,109,47,40,15,420,30,40,60,100,8,07/01/2011,Herbal Tea,Chamomile,Decaf
214,Texas,South,Major Market,24,101,41,36,13,435,30,30,60,90,9,12/01/2010,Herbal Tea,Lemon,Decaf
216,Ohio,Central,Major Market,37,122,52,41,17,361,40,50,70,120,1,05/01/2011,Coffee,Amaretto,Regular
216,Ohio,Central,Major Market,42,133,53,44,17,410,50,50,80,130,1,09/01/2011,Coffee,Amaretto,Regular
216,Ohio,Central,Major Market,-5,122,51,76,46,503,30,40,70,110,3,10/01/2010,Coffee,Decaf Irish Cream,Decaf
216,Ohio,Central,Major Market,81,291,145,65,40,1304,120,160,180,340,5,07/01/2010,Espresso,Caffe Mocha,Regular
216,Ohio,Central,Major Market,138,346,162,70,45,1091,130,180,200,380,5,04/01/2011,Espresso,Caffe Mocha,Regular
216,Ohio,Central,Major Market,116,295,149,60,41,1156,120,170,180,350,5,05/01/2011,Espresso,Caffe Mocha,Regular
216,Ohio,Central,Major Market,112,288,145,60,40,1304,120,160,180,340,5,07/01/2011,Espresso,Caffe Mocha,Regular
216,Ohio,Central,Major Market,15,117,53,50,20,361,20,60,70,130,6,05/01/2011,Espresso,Decaf Espresso,Decaf
216,Ohio,Central,Major Market,11,108,49,48,18,414,20,50,70,120,6,08/01/2011,Espresso,Decaf Espresso,Decaf
216,Ohio,Central,Major Market,16,53,21,16,5,454,30,10,30,40,8,04/01/2010,Herbal Tea,Chamomile,Decaf
216,Ohio,Central,Major Market,12,44,18,16,5,478,20,10,20,30,8,06/01/2011,Herbal Tea,Chamomile,Decaf
216,Ohio,Central,Major Market,67,200,84,49,26,500,60,70,100,170,12,01/01/2010,Tea,Earl Grey,Regular
217,Illinois,Central,Major Market,111,345,144,90,47,862,130,150,210,360,2,01/01/2010,Coffee,Columbian,Regular
217,Illinois,Central,Major Market,119,367,154,94,50,829,140,160,220,380,2,03/01/2010,Coffee,Columbian,Regular
217,Illinois,Central,Major Market,156,456,191,109,63,865,170,200,270,470,2,04/01/2010,Coffee,Columbian,Regular
217,Illinois,Central,Major Market,150,376,154,72,49,833,170,160,230,390,3,07/01/2010,Coffee,Decaf Irish Cream,Decaf
217,Illinois,Central,Major Market,136,262,95,55,30,608,100,100,140,240,3,01/01/2011,Coffee,Decaf Irish Cream,Decaf
217,Illinois,Central,Major Market,220,587,252,115,83,1316,280,290,400,690,5,04/01/2010,Espresso,Caffe Mocha,Regular
217,Illinois,Central,Major Market,313,604,243,113,80,1260,260,280,380,660,5,03/01/2011,Espresso,Caffe Mocha,Regular
217,Illinois,Central,Major Market,149,478,239,90,66,1464,200,270,290,560,6,04/01/2010,Espresso,Decaf Espresso,Decaf
217,Illinois,Central,Major Market,68,190,83,39,27,584,60,70,90,160,9,05/01/2010,Herbal Tea,Lemon,Decaf
217,Illinois,Central,Major Market,53,134,54,27,15,456,50,40,70,110,11,01/01/2010,Tea,Darjeeling,Regular
217,Illinois,Central,Major Market,105,245,100,40,28,598,100,80,130,210,11,08/01/2010,Tea,Darjeeling,Regular
217,Illinois,Central,Major Market,78,187,76,33,21,580,80,50,80,130,11,10/01/2010,Tea,Darjeeling,Regular
217,Illinois,Central,Major Market,83,150,54,28,15,456,50,40,70,110,11,01/01/2011,Tea,Darjeeling,Regular
224,Illinois,Central,Major Market,225,463,196,100,64,1167,190,200,290,490,2,08/01/2011,Coffee,Columbian,Regular
224,Illinois,Central,Major Market,259,678,291,128,96,1742,340,330,470,800,5,07/01/2010,Espresso,Caffe Mocha,Regular
224,Illinois,Central,Major Market,196,532,228,108,75,1691,290,290,390,680,5,11/01/2010,Espresso,Caffe Mocha,Regular
224,Illinois,Central,Major Market,91,213,87,35,24,756,90,70,110,180,8,03/01/2010,Herbal Tea,Chamomile,Decaf
224,Illinois,Central,Major Market,95,223,91,37,25,777,100,70,120,190,8,04/01/2010,Herbal Tea,Chamomile,Decaf
224,Illinois,Central,Major Market,62,178,78,38,25,593,60,60,90,150,9,04/01/2010,Herbal Tea,Lemon,Decaf
224,Illinois,Central,Major Market,157,262,95,40,26,821,100,80,120,200,10,01/01/2011,Herbal Tea,Mint,Decaf
225,Louisiana,South,Small Market,30,85,34,21,9,777,50,40,60,100,2,01/01/2010,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,29,82,33,20,9,768,50,40,60,100,2,03/01/2010,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,47,119,48,24,13,829,80,70,90,160,2,10/01/2010,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,44,115,47,24,13,834,60,50,80,130,2,11/01/2010,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,45,92,35,21,9,776,50,40,60,100,2,04/01/2011,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,55,106,43,22,12,822,60,50,80,130,2,06/01/2011,Coffee,Columbian,Regular
225,Louisiana,South,Small Market,45,118,48,25,13,851,80,70,90,160,3,10/01/2010,Coffee,Decaf Irish Cream,Decaf
225,Louisiana,South,Small Market,31,85,34,20,9,863,50,40,60,100,3,12/01/2010,Coffee,Decaf Irish Cream,Decaf
225,Louisiana,South,Small Market,80,143,59,25,16,842,90,70,110,180,3,06/01/2011,Coffee,Decaf Irish Cream,Decaf
225,Louisiana,South,Small Market,45,133,49,39,15,342,50,40,70,110,5,04/01/2010,Espresso,Caffe Mocha,Regular
225,Louisiana,South,Small Market,44,130,48,38,14,351,50,40,70,110,5,05/01/2010,Espresso,Caffe Mocha,Regular
225,Louisiana,South,Small Market,41,125,47,37,14,371,40,40,60,100,5,06/01/2010,Espresso,Caffe Mocha,Regular
